Organism_Name,Group name,Domain/Realm name,Kingdom name,Phylum name,Class name,Order name,Family name,Genus name,Species taxid,acc,query,tar_tco,full_e_tco,full_score_tco,full_bias_tco,dom_e_tco,dom_score_tco,dom_bias_tco,tar_RAPTOR,full_e_RAPTOR,full_score_RAPTOR,full_bias_RAPTOR,dom_e_RAPTOR,dom_score_RAPTOR,dom_bias_RAPTOR,ProteinPresence
Komagataella phaffii GS115,NA,NA,NA,NA,NA,NA,NA,NA,644223,GCA_000027005.1,PTHR12848.orig.30.pir,CAY67512.1,1e-20,72.6,3.8,9.8e-19,66.1,1.1,CAY69086.1,0,1384.3,6.8,0,1384,6.8,TCO and RAPTOR
Eremothecium gossypii ATCC 10895,NA,NA,NA,NA,NA,NA,NA,NA,284811,GCA_000091025.4,PTHR12848.orig.30.pir,AAS53318.2,5.6e-94,314.4,26.9,1.2999999999999999e-73,247.1,17.1,AAS52251.2,0,1393.3,12.2,0,1392.8,12.2,TCO and RAPTOR
Lachancea thermotolerans CBS 6340,NA,NA,NA,NA,NA,NA,NA,NA,559295,GCA_000142805.1,PTHR12848.orig.30.pir,CAR30240.1,2.0999999999999997e-110,368.7,49.5,2.6e-110,368.4,49.5,CAR21731.1,0,1370.9,12.4,0,1370.5,12.4,TCO and RAPTOR
Grosmannia clavigera kw1407,NA,NA,NA,NA,NA,NA,NA,NA,655863,GCA_000143105.2,PTHR12848.orig.30.pir,EFX04800.1,1e-8,33.7,0,1e-8,33.7,0,EFX02339.1,0,1487.3,0,0,1486.3,0,TCO and RAPTOR
Gaeumannomyces tritici R3-111a-1,NA,NA,NA,NA,NA,NA,NA,NA,644352,GCA_000145635.1,PTHR12848.orig.30.pir,EJT81209.1,6.4e-8,31.9,0,6.4e-8,31.9,0,EJT70886.1,0,1475.4,0.8,0,1475.4,0,TCO and RAPTOR
Saccharomyces cerevisiae S288C,NA,NA,NA,NA,NA,NA,NA,NA,559292,GCA_000146045.2,PTHR12848.orig.30.pir,DAA11254.1,9e-118,393.2,63.3,1.9e-117,392.1,63.3,DAA06878.1,0,1420.9,19.1,0,1420.5,19.1,TCO and RAPTOR
Saccharomyces cerevisiae RM11-1a,NA,NA,NA,NA,NA,NA,NA,NA,285006,GCA_000149365.1,PTHR12848.orig.30.pir,EDV11046.1,7.399999999999999e-117,390.1,62.8,1.6e-116,389,62.8,EDV09228.1,0,1420.7,18.8,0,1420.3,18.8,TCO and RAPTOR
Meyerozyma guilliermondii ATCC 6260,NA,NA,NA,NA,NA,NA,NA,NA,294746,GCA_000149425.1,PTHR12848.orig.30.pir,EDK36138.2,1.7e-14,52.4,56.4,1.9e-7,29.1,2.4,EDK41414.2,0,1418.6,0.2,0,1418.1,0.2,TCO and RAPTOR
Candida albicans WO-1,NA,NA,NA,NA,NA,NA,NA,NA,294748,GCA_000149445.2,PTHR12848.orig.30.pir,EEQ42693.1,1e-13,49.7,55.1,1.8e-8,32.4,1.3,EEQ42637.1,0,1418.8,1.2,0,1418.4,1.2,TCO and RAPTOR
Lodderomyces elongisporus NRRL YB-4239,NA,NA,NA,NA,NA,NA,NA,NA,379508,GCA_000149685.1,PTHR12848.orig.30.pir,EDK43613.1,3.3e-12,44.8,51,4.1e-9,34.5,2.6,EDK43560.1,0,1389.8,8.9,0,1194.5,1.9,TCO and RAPTOR
Schizosaccharomyces japonicus yFS275,NA,NA,NA,NA,NA,NA,NA,NA,402676,GCA_000149845.2,PTHR12848.orig.30.pir,EEB06655.2,6.3e-11,40.3,0.2,6.3e-11,40.3,0.2,EEB06468.2,0,1461.1,8,0,1460.2,8,TCO and RAPTOR
Pyrenophora tritici-repentis Pt-1C-BFP,NA,NA,NA,NA,NA,NA,NA,NA,426418,GCA_000149985.1,PTHR12848.orig.30.pir,EDU49663.1,3.7e-8,32.4,2.7,3.7e-8,32.4,2.7,EDU50275.1,0,1372,7.3,3.1e-286,952.5,7.5,TCO and RAPTOR
Vanderwaltozyma polyspora DSM 70294,NA,NA,NA,NA,NA,NA,NA,NA,436907,GCA_000150035.1,PTHR12848.orig.30.pir,EDO19428.1,7.299999999999999e-243,805.9,54.4,9.999999999999998e-243,805.5,54.4,EDO16496.1,0,1342.1,14.4,0,1341.6,14.4,TCO and RAPTOR
Coccidioides immitis RMSCC 3703,NA,NA,NA,NA,NA,NA,NA,NA,454286,GCA_000150085.1,PTHR12848.orig.30.pir,KMU74256.1,9.6e-9,34.2,4.1,2.7e-4,19.5,0,KMU73284.1,2.9e-281,935.8,0,3.3e-281,935.7,0,TCO and RAPTOR
Schizosaccharomyces octosporus yFS286,NA,NA,NA,NA,NA,NA,NA,NA,483514,GCA_000150505.2,PTHR12848.orig.30.pir,EPX73686.1,1.2e-28,98.8,17.8,1.1e-14,52.7,4.2,EPX74876.1,0,1443.1,12,0,1442.1,12,TCO and RAPTOR
Allomyces macrogynus ATCC 38327,NA,NA,NA,NA,NA,NA,NA,NA,578462,GCA_000151295.1,PTHR12848.orig.30.pir,KNE56402.1,8.8e-8,31.9,0,9.5e-8,31.8,0,KNE67046.1,0,1175.8,0,2.3999999999999996e-294,980,0.9,TCO and RAPTOR
Blastomyces dermatitidis ATCC 18188,NA,NA,NA,NA,NA,NA,NA,NA,653446,GCA_000151595.1,PTHR12848.orig.30.pir,EGE77523.1,2.7e-8,32.8,4,2.7e-5,22.9,0.1,EGE84971.1,0,1496.4,0,0,1496.1,0,TCO and RAPTOR
Tuber melanosporum,ascomycete fungi,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,39416,GCA_000151645.1,PTHR12848.orig.30.pir,CAZ83326.1,1e-7,30.3,0.2,8.8e-5,20.6,0,CAZ80636.1,0,1179.4,0,0,1179,0,TCO and RAPTOR
Pyrenophora teres f. teres 0-1,NA,NA,NA,NA,NA,NA,NA,NA,861557,GCA_000166005.1,PTHR12848.orig.30.pir,EFQ90467.1,8.1e-8,31.3,2,8.1e-8,31.3,2,EFQ92871.1,0,1502.3,0,0,1501.8,0,TCO and RAPTOR
Blastomyces dermatitidis ATCC 26199,NA,NA,NA,NA,NA,NA,NA,NA,447095,GCA_000166155.1,PTHR12848.orig.30.pir,EQL33610.1,2.8e-8,32.8,4,2.7e-5,22.9,0.1,EQL34072.1,0,1496.4,0,0,1496.1,0,TCO and RAPTOR
Coccidioides posadasii str. Silveira,NA,NA,NA,NA,NA,NA,NA,NA,443226,GCA_000170175.2,PTHR12848.orig.30.pir,EFW21825.1,1.4e-9,36.9,1.2,1.7e-4,20.1,0.1,EFW16606.1,0,1481.9,0,0,1481.6,0,TCO and RAPTOR
Saccharomyces cerevisiae YJM789,NA,NA,NA,NA,NA,NA,NA,NA,307796,GCA_000181435.1,PTHR12848.orig.30.pir,EDN60965.1,6.2e-118,393.7,62.3,1.3e-117,392.7,62.3,EDN62423.1,0,1420.9,19.1,0,1420.5,19.1,TCO and RAPTOR
Saccharomyces cerevisiae AWRI1631,NA,NA,NA,NA,NA,NA,NA,NA,545124,GCA_000182175.1,PTHR12848.orig.30.pir,EDZ68951.1,8.2e-118,393.2,63.3,1.6999999999999998e-117,392.1,63.3,EDZ71628.1,2.7999999999999996e-190,633.5,6.3,3.5e-190,633.2,6.3,TCO and RAPTOR
Saccharomyces cerevisiae JAY291,NA,NA,NA,NA,NA,NA,NA,NA,574961,GCA_000182315.2,PTHR12848.orig.30.pir,EEU09156.1,7.8e-118,393.2,63.3,1.6999999999999998e-117,392.1,63.3,EEU06547.1,0,1420.8,19.3,0,1420.4,19.3,TCO and RAPTOR
Candida parapsilosis,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,5480,GCA_000182765.2,PTHR12848.orig.30.pir,CCE40523.1,1.5e-10,39.3,27.7,7.4e-7,27.1,17.9,CCE40733.1,0,1411.4,0.1,0,1411,0.1,TCO and RAPTOR
Candida albicans SC5314,NA,NA,NA,NA,NA,NA,NA,NA,237561,GCA_000182965.3,PTHR12848.orig.30.pir,AOW26155.1,4e-12,44.5,59.1,1.9e-8,32.4,1.3,AOW26215.1,0,1419.7,2.4,0,1419.3,2.4,TCO and RAPTOR
Ogataea parapolymorpha DL-1,NA,NA,NA,NA,NA,NA,NA,NA,871575,GCA_000187245.3,PTHR12848.orig.30.pir,ESW97781.1,2.3e-12,45.1,2.1,2.3e-12,45.1,2.1,ESX00847.1,0,1274.7,0.3,0,1274.2,0.3,TCO and RAPTOR
Scheffersomyces stipitis CBS 6054,NA,NA,NA,NA,NA,NA,NA,NA,322104,GCA_000209165.1,PTHR12848.orig.30.pir,EAZ63860.2,1.1e-9,36.5,25.8,1.1e-8,33.1,2,EAZ63418.2,0,1420.4,1.1,0,1420.1,1.1,TCO and RAPTOR
Saccharomyces cerevisiae EC1118,NA,NA,NA,NA,NA,NA,NA,NA,643680,GCA_000218975.1,PTHR12848.orig.30.pir,CAY86779.1,2e-116,388.8,63.4,4.2e-116,387.7,63.4,CAY80201.1,0,1419.4,19.4,0,1419,19.4,TCO and RAPTOR
Yamadazyma tenuis ATCC 10573,NA,NA,NA,NA,NA,NA,NA,NA,590646,GCA_000223465.1,PTHR12848.orig.30.pir,EGV61377.1,6.2e-11,40.8,0.9,6.2e-11,40.8,0.9,EGV66317.1,0,1395.5,9,0,1395.1,9,TCO and RAPTOR
Yamadazyma tenuis ATCC 10573,NA,NA,NA,NA,NA,NA,NA,NA,590646,GCA_000223465.1,PTHR12848.orig.30.pir,EGV61377.1,6.2e-11,40.8,0.9,6.2e-11,40.8,0.9,EGV66318.1,0,1395.5,9,0,1395.1,9,TCO and RAPTOR
Spathaspora passalidarum NRRL Y-27907,NA,NA,NA,NA,NA,NA,NA,NA,619300,GCA_000223485.1,PTHR12848.orig.30.pir,EGW35060.1,8.9e-11,40.1,65.5,7.7e-7,27.1,0.2,EGW35348.1,0,1407.3,2.9,0,1406.8,2.9,TCO and RAPTOR
Komagataella phaffii CBS 7435,NA,NA,NA,NA,NA,NA,NA,NA,981350,GCA_000223565.1,PTHR12848.orig.30.pir,CCA36610.1,1.1e-20,72.6,3.8,1e-18,66.1,1.1,CCA38519.1,0,1384.3,6.8,0,1384,6.8,TCO and RAPTOR
Saitoella complicata NRRL Y-17804,NA,NA,NA,NA,NA,NA,NA,NA,698492,GCA_000227095.3,PTHR12848.orig.30.pir,GAO46997.1,1.7e-10,39.4,0,1.7e-10,39.4,0,GAO50281.1,0,1556,0,0,1555.6,0,TCO and RAPTOR
Naumovozyma dairenensis CBS 421,NA,NA,NA,NA,NA,NA,NA,NA,1071378,GCA_000227115.2,PTHR12848.orig.30.pir,CCD25541.1,1.4e-66,224.1,96.4,8.000000000000001e-66,221.6,87.2,CCD24014.1,0,1326.6,19.9,0,1326.1,19.9,TCO and RAPTOR
Plenodomus lingam JN3,NA,NA,NA,NA,NA,NA,NA,NA,985895,GCA_000230375.1,PTHR12848.orig.30.pir,CBX96147.1,6.6e-8,31.7,2.7,6.6e-8,31.7,2.7,CBX95007.1,0,1514.7,0.3,0,1514.2,0.3,TCO and RAPTOR
Tetrapisispora phaffii CBS 4417,NA,NA,NA,NA,NA,NA,NA,NA,1071381,GCA_000236905.1,PTHR12848.orig.30.pir,CCE65035.1,2.3e-101,338.9,61.3,2.9999999999999997e-101,338.5,61.3,CCE65564.1,0,1334.6,4.2,0,1334.1,4.2,TCO and RAPTOR
Naumovozyma castellii,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,27288,GCA_000237345.1,PTHR12848.orig.30.pir,CCC71417.1,2.5e-96,322.4,48.1,2.5e-96,322.4,48.1,CCC70689.1,0,1371.9,16.8,0,1371.5,16.8,TCO and RAPTOR
Torulaspora delbrueckii,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Torulaspora,4950,GCA_000243375.1,PTHR12848.orig.30.pir,CCE92987.1,1.2999999999999997e-120,402.3,37.8,1.6999999999999997e-120,401.9,37.8,CCE93440.1,0,1362.4,19.1,0,1362,19.1,TCO and RAPTOR
Brettanomyces bruxellensis AWRI1499,NA,NA,NA,NA,NA,NA,NA,NA,1124627,GCA_000259595.1,PTHR12848.orig.30.pir,EIF46273.1,6e-13,46.9,18.8,6e-13,46.9,18.8,EIF45397.1,2.9999999999999996e-158,527.2,0.1,3.4999999999999997e-158,527,0.1,TCO and RAPTOR
Saccharomyces cerevisiae Kyokai no. 7,NA,NA,NA,NA,NA,NA,NA,NA,721032,GCA_000260735.2,PTHR12848.orig.30.pir,GAA26795.1,8.4e-117,390,66.5,2.1999999999999998e-116,388.6,66.5,GAA23902.1,0,1418,19.7,0,1417.6,19.7,TCO and RAPTOR
Saccharomyces cerevisiae CEN.PK113-7D,NA,NA,NA,NA,NA,NA,NA,NA,889517,GCA_000269885.1,PTHR12848.orig.30.pir,EIW07360.1,8.2e-118,393.2,63.3,1.6999999999999998e-117,392.1,63.3,EIW10092.1,0,1420.9,19.1,0,1420.5,19.1,TCO and RAPTOR
Saccharomyces arboricola H-6,NA,NA,NA,NA,NA,NA,NA,NA,1160507,GCA_000292725.1,PTHR12848.orig.30.pir,EJS41478.1,6.499999999999999e-120,399.6,61.5,1.4e-119,398.5,61.5,EJS43360.1,0,1396.5,17.9,0,1396.1,17.9,TCO and RAPTOR
Kazachstania africana CBS 2517,NA,NA,NA,NA,NA,NA,NA,NA,1071382,GCA_000304475.1,PTHR12848.orig.30.pir,CCF56963.1,1.1e-66,224.5,60.6,2.1999999999999998e-48,164,37.4,CCF56457.1,0,1331.7,10.5,0,1331.2,10.5,TCO and RAPTOR
Wickerhamomyces ciferrii,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Phaffomycetales,Wickerhamomycetaceae,Wickerhamomyces,1041607,GCA_000313485.1,PTHR12848.orig.30.pir,CCH46609.1,5e-27,93.9,24.2,5e-27,93.9,24.2,CCH42858.1,0,1411.3,10.9,0,1410.9,10.9,TCO and RAPTOR
Candida orthopsilosis Co 90-125,NA,NA,NA,NA,NA,NA,NA,NA,1136231,GCA_000315875.1,PTHR12848.orig.30.pir,CCG22389.1,6.6e-10,37.1,59.4,1.1e-6,26.4,31.1,CCG22591.1,0,1417.2,2.6,0,1416.7,2.6,TCO and RAPTOR
Henningerozyma blattae CBS 6284,NA,NA,NA,NA,NA,NA,NA,NA,1071380,GCA_000315915.1,PTHR12848.orig.30.pir,CCH57987.1,2.6e-84,282.7,90.4,6.9e-81,271.3,90.4,CCH59304.1,0,1331,3.6,0,1330.6,3.6,TCO and RAPTOR
Saccharomyces cerevisiae x Saccharomyces kudriavzevii VIN7,NA,NA,NA,NA,NA,NA,NA,NA,1095631,GCA_000326105.1,PTHR12848.orig.30.pir,EHM99953.1,4.6000000000000005e-59,200,51.8,7.6000000000000005e-59,199.3,51.8,EHN06791.1,0,1420.1,18.7,0,1419.8,18.7,TCO and RAPTOR
Candida maltosa Xu316,NA,NA,NA,NA,NA,NA,NA,NA,1245528,GCA_000344705.1,PTHR12848.orig.30.pir,EMG47742.1,7.5e-12,43.6,50.2,1.2e-7,29.8,0.7,EMG47799.1,0,1408.8,0.5,0,1408.4,0.5,TCO and RAPTOR
Huiozyma naganishii CBS 8797,NA,NA,NA,NA,NA,NA,NA,NA,1071383,GCA_000348985.1,PTHR12848.orig.30.pir,CCK72899.1,8e-87,290.9,40,2.4e-84,282.7,40,CCK70021.1,0,1359,22.1,0,1358.6,22.1,TCO and RAPTOR
Pneumocystis murina B123,NA,NA,NA,NA,NA,NA,NA,NA,1069680,GCA_000349005.2,PTHR12848.orig.30.pir,EMR08245.1,9.8e-10,35.9,11.5,9.8e-10,35.9,11.5,EMR10687.1,0,1453.1,9.9,0,1452.5,9.9,TCO and RAPTOR
Mucor circinelloides 1006PhL,NA,NA,NA,NA,NA,NA,NA,NA,1220926,GCA_000401635.1,PTHR12848.orig.30.pir,EPB91176.1,3.9e-8,32.4,12,3.9e-8,32.4,12,EPB90630.1,0,1481.2,7.2,0,1481,7.2,TCO and RAPTOR
Ophiostoma piceae UAMH 11346,NA,NA,NA,NA,NA,NA,NA,NA,1262450,GCA_000410735.1,PTHR12848.orig.30.pir,EPE04929.1,2.6e-9,35.8,0.1,2.6e-9,35.8,0.1,EPE07533.1,0,1464.2,0.1,0,1461.1,0,TCO and RAPTOR
[Ashbya] aceris (nom. inval.),budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium,566037,GCA_000412225.2,PTHR12848.orig.30.pir,AGO13103.1,3.8e-96,321.4,18.9,5.9999999999999994e-96,320.8,18.9,AGO10680.1,0,1392.7,11.2,0,1392.2,11.2,TCO and RAPTOR
Blumeria graminis f. sp. tritici 96224,NA,NA,NA,NA,NA,NA,NA,NA,1268274,GCA_000418435.1,PTHR12848.orig.30.pir,EPQ62144.1,1.2e-8,33.2,1.8,1.6e-8,32.7,0.8,EPQ64783.1,0,1470,3.4,0,1469.3,3.4,TCO and RAPTOR
Zygosaccharomyces bailii CLIB 213,NA,NA,NA,NA,NA,NA,NA,NA,1333698,GCA_000442885.1,PTHR12848.orig.30.pir,CDF89039.1,3.7e-122,407.4,41,4.6999999999999994e-122,407,41,CDF90477.1,0,1366.1,11.1,0,1365.8,11.1,TCO and RAPTOR
Zygosaccharomyces bailii ISA1307,NA,NA,NA,NA,NA,NA,NA,NA,1355161,GCA_000530735.1,PTHR12848.orig.30.pir,CDH16123.1,7.699999999999999e-122,407.4,41,9.8e-122,407,41,CDH10755.1,0,1367.6,12.6,0,1367.2,12.6,TCO and RAPTOR
Saccharomyces cerevisiae P301,NA,NA,NA,NA,NA,NA,NA,NA,1182968,GCA_000568055.1,PTHR12848.orig.30.pir,EWG88385.1,9.6e-118,392.8,62.9,2e-117,391.7,62.9,EWG90755.1,0,1421.1,18.9,0,1420.7,18.9,TCO and RAPTOR
Kuraishia capsulata CBS 1993,NA,NA,NA,NA,NA,NA,NA,NA,1382522,GCA_000576695.1,PTHR12848.orig.30.pir,CDK28807.1,1.5e-20,72.3,30.1,3.9e-19,67.7,14.4,CDK28584.1,0,1406,3.6,0,1405.5,3.6,TCO and RAPTOR
Saccharomyces cerevisiae YJM993,NA,NA,NA,NA,NA,NA,NA,NA,1294331,GCA_000662435.2,PTHR12848.orig.30.pir,AHY78001.1,8.2e-118,393.2,63.3,1.8e-117,392.1,63.3,AHY77881.1,0,1416.5,19.2,0,1416.1,19.2,TCO and RAPTOR
Candida albicans Ca529L,NA,NA,NA,NA,NA,NA,NA,NA,1325634,GCA_000691765.2,PTHR12848.orig.30.pir,RLP61781.1,1.1e-12,46.4,56.5,2e-8,32.4,1.3,RLP61841.1,0,1420.5,2.3,0,1420.1,2.3,TCO and RAPTOR
Aureobasidium subglaciale EXF-2481,NA,NA,NA,NA,NA,NA,NA,NA,1043005,GCA_000721755.1,PTHR12848.orig.30.pir,KEQ99940.1,2.9e-11,42.5,7.6,1.5e-10,40.2,0,KEQ97016.1,0,1454.6,0,0,1454.2,0,TCO and RAPTOR
Aureobasidium namibiae CBS 147.97,NA,NA,NA,NA,NA,NA,NA,NA,1043004,GCA_000721765.1,PTHR12848.orig.30.pir,KEQ73196.1,9.3e-11,40.8,0,9.3e-11,40.8,0,KEQ71022.1,0,1448.1,0,0,1447.7,0,TCO and RAPTOR
Aureobasidium pullulans EXF-150,NA,NA,NA,NA,NA,NA,NA,NA,1043002,GCA_000721785.1,PTHR12848.orig.30.pir,KEQ82048.1,9.6e-11,40.9,0.1,9.6e-11,40.9,0.1,KEQ89517.1,0,1456.8,0,0,1456.4,0,TCO and RAPTOR
Lichtheimia corymbifera JMRC:FSU:9682,NA,NA,NA,NA,NA,NA,NA,NA,1263082,GCA_000723665.1,PTHR12848.orig.30.pir,CDH53541.1,5e-12,45.4,7.1,5e-12,45.4,7.1,CDH49574.1,0,1490.7,19.1,0,1490.3,19.1,TCO and RAPTOR
Pichia kudriavzevii,budding yeasts & allies,Eukaryota,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,4909,GCA_000764455.1,PTHR12848.orig.30.pir,KGK36450.1,2.9e-16,58.4,8.7,2.9e-16,58.4,8.7,KGK38860.1,0,1233.4,0.6,0,1232.9,0.6,TCO and RAPTOR
Candida albicans P78048,NA,NA,NA,NA,NA,NA,NA,NA,1094989,GCA_000773725.1,PTHR12848.orig.30.pir,KGR21509.1,8.8e-13,46.8,57.1,2e-8,32.4,1.3,KGR21570.1,0,1419.7,2.4,0,1419.3,2.4,TCO and RAPTOR
Candida albicans GC75,NA,NA,NA,NA,NA,NA,NA,NA,1094988,GCA_000773735.1,PTHR12848.orig.30.pir,KGR03688.1,5.9e-13,47.3,55.9,2e-8,32.4,1.3,KGR03749.1,0,1418.1,1.9,0,1417.7,1.9,TCO and RAPTOR
Candida albicans P37005,NA,NA,NA,NA,NA,NA,NA,NA,1094985,GCA_000773745.1,PTHR12848.orig.30.pir,KGQ98872.1,8.8e-13,46.8,57.1,2e-8,32.4,1.3,KGQ98932.1,0,1419.7,2.4,0,1419.3,2.4,TCO and RAPTOR
Candida albicans P94015,NA,NA,NA,NA,NA,NA,NA,NA,1094983,GCA_000773755.1,PTHR12848.orig.30.pir,KGQ91745.1,1.2e-12,46.4,57.8,2.2e-8,32.2,1.8,KGQ91805.1,0,1420,2.3,0,1419.6,2.3,TCO and RAPTOR
Candida albicans P57072,NA,NA,NA,NA,NA,NA,NA,NA,1094990,GCA_000773805.1,PTHR12848.orig.30.pir,KGR15609.1,2.2e-12,45.4,57.5,2e-8,32.4,1.3,KGR15669.1,0,1414.7,2.4,0,1414.3,2.4,TCO and RAPTOR
Candida albicans P37037,NA,NA,NA,NA,NA,NA,NA,NA,1094992,GCA_000773825.1,PTHR12848.orig.30.pir,KGR23535.1,1.3e-12,46.2,57.3,2.9e-8,31.8,1.4,KGR23596.1,0,1419.8,2.3,0,1419.4,2.3,TCO and RAPTOR
Candida albicans 12C,NA,NA,NA,NA,NA,NA,NA,NA,1094981,GCA_000773845.1,PTHR12848.orig.30.pir,KGT72670.1,8.8e-13,46.8,57.1,2e-8,32.4,1.3,KGT71996.1,0,1419.8,2.3,0,1419.4,2.3,TCO and RAPTOR
Candida albicans P87,NA,NA,NA,NA,NA,NA,NA,NA,1094984,GCA_000774085.1,PTHR12848.orig.30.pir,KGU14819.1,5.9e-13,47.3,55.9,2e-8,32.4,1.3,KGU14880.1,0,1419.4,1.8,0,1419,1.8,TCO and RAPTOR
Candida albicans 19F,NA,NA,NA,NA,NA,NA,NA,NA,1094987,GCA_000775445.1,PTHR12848.orig.30.pir,KGU19502.1,1.3e-12,46.2,57.3,2.9e-8,31.8,1.4,KGU17549.1,0,1419.7,2.4,0,1419.3,2.4,TCO and RAPTOR
Candida albicans L26,NA,NA,NA,NA,NA,NA,NA,NA,1094982,GCA_000775455.1,PTHR12848.orig.30.pir,KGU18730.1,2.4e-12,45.3,57.5,2.9e-8,31.8,1.4,KGU18790.1,0,1419.8,2.3,0,1419.4,2.3,TCO and RAPTOR
Candida albicans P34048,NA,NA,NA,NA,NA,NA,NA,NA,1094991,GCA_000775465.1,PTHR12848.orig.30.pir,KGU33855.1,3.4e-12,44.8,57.7,3e-8,31.8,1.4,KGU33915.1,0,1419.8,2.3,0,1419.4,2.3,TCO and RAPTOR
